stride_pct,RL | leg1_a angle (deg),RL | leg1_e angle (deg),RL | leg2_a angle (deg),RL | leg2_e angle (deg),RL | leg3_a angle (deg),RL | leg3_e angle (deg),RL | leg4_a angle (deg),RL | leg4_e angle (deg),RL | spine angle (deg),RL | IMU pitch (deg),RL | IMU roll (deg),RL | pitch rate (deg/s),RL | roll rate (deg/s),RL | yaw rate (deg/s),RL | leg1_a torque (N m),RL | leg1_e torque (N m),RL | leg2_a torque (N m),RL | leg2_e torque (N m),RL | leg3_a torque (N m),RL | leg3_e torque (N m),RL | leg4_a torque (N m),RL | leg4_e torque (N m),RL | spine torque (N m),Old CPG | leg1_a angle (deg),Old CPG | leg1_e angle (deg),Old CPG | leg2_a angle (deg),Old CPG | leg2_e angle (deg),Old CPG | leg3_a angle (deg),Old CPG | leg3_e angle (deg),Old CPG | leg4_a angle (deg),Old CPG | leg4_e angle (deg),Old CPG | spine angle (deg),Old CPG | IMU pitch (deg),Old CPG | IMU roll (deg),Old CPG | pitch rate (deg/s),Old CPG | roll rate (deg/s),Old CPG | yaw rate (deg/s),Old CPG | leg1_a torque (N m),Old CPG | leg1_e torque (N m),Old CPG | leg2_a torque (N m),Old CPG | leg2_e torque (N m),Old CPG | leg3_a torque (N m),Old CPG | leg3_e torque (N m),Old CPG | leg4_a torque (N m),Old CPG | leg4_e torque (N m),Old CPG | spine torque (N m),Final CPG | leg1_a angle (deg),Final CPG | leg1_e angle (deg),Final CPG | leg2_a angle (deg),Final CPG | leg2_e angle (deg),Final CPG | leg3_a angle (deg),Final CPG | leg3_e angle (deg),Final CPG | leg4_a angle (deg),Final CPG | leg4_e angle (deg),Final CPG | spine angle (deg),Final CPG | IMU pitch (deg),Final CPG | IMU roll (deg),Final CPG | pitch rate (deg/s),Final CPG | roll rate (deg/s),Final CPG | yaw rate (deg/s),Final CPG | leg1_a torque (N m),Final CPG | leg1_e torque (N m),Final CPG | leg2_a torque (N m),Final CPG | leg2_e torque (N m),Final CPG | leg3_a torque (N m),Final CPG | leg3_e torque (N m),Final CPG | leg4_a torque (N m),Final CPG | leg4_e torque (N m),Final CPG | spine torque (N m)
1.04167,54.31624,2.34274,-9.33211,33.01328,0.51285,45.00914,33.65628,-19.21682,0.33495,0.56863,2.43019,6.72679,7.51733,-0.50225,-0.00815,0.00914,0.05556,-0.09014,0.01106,-0.02325,-0.11777,0.11195,-0.07102,56.51198,-1.28818,-12.27874,32.49022,-4.58388,45.58365,42.19846,-27.22153,2.08018,1.28437,5.69488,-62.09293,-109.92027,18.71467,-0.03324,-0.01582,0.00084,0.00581,0.00123,-0.00263,-0.13155,0.13472,-0.04875,54.34237,2.15436,-9.40935,32.61173,0.52934,45.24418,34.13881,-18.66516,0.07563,0.79213,2.53608,-3.33722,-7.15304,-0.16132,-0.00922,0.00523,0.06033,-0.0967,0.00614,-0.01965,-0.13118,0.13144,-0.0709
3.125,54.38041,2.26653,-8.33179,32.5897,0.09684,45.67862,34.21252,-17.97035,0.52368,0.5422,2.41757,-0.59992,-0.22413,-0.52495,0.00373,0.00679,0.06559,-0.10683,-0.00844,-0.00698,-0.13023,0.12777,-0.07146,56.46764,-2.65315,-11.26522,31.51815,-6.15924,45.85911,42.37633,-25.95147,2.29779,0.93295,5.10866,-62.21835,-106.12407,15.57561,-0.02863,-0.01121,0.02174,-0.0209,0.00307,0.00349,-0.12546,0.13038,-0.05796,54.36651,2.06358,-8.47196,32.24996,0.11786,45.92688,34.7072,-17.60343,0.25616,0.7389,2.45434,-7.37697,-11.32116,-0.22197,0.00651,0.00697,0.07528,-0.12078,-0.01077,0.00028,-0.14098,0.14998,-0.07091
5.20833,54.44003,1.85959,-7.42615,32.38203,-0.83883,46.23328,34.70833,-16.78733,0.75427,0.47157,2.37653,-7.96348,-6.32668,-0.66629,0.01062,-0.00258,0.06781,-0.11081,-0.02998,0.00344,-0.13264,0.13437,-0.06784,56.19057,-4.11521,-10.43608,30.90064,-7.80158,45.98824,42.36184,-24.58531,2.51845,0.61783,4.59592,-55.78554,-91.58895,10.43351,-0.02044,-0.00649,0.05267,-0.05649,0.00382,0.00435,-0.12344,0.12672,-0.06537,54.40508,1.60925,-7.63344,32.10004,-0.85281,46.50859,35.10917,-16.47463,0.47626,0.65835,2.36411,-10.61941,-13.60044,-0.55907,0.01587,0.00391,0.07847,-0.12645,-0.02578,0.01149,-0.1397,0.14834,-0.06665
7.29167,54.51909,0.97603,-6.56283,32.29906,-2.40202,46.63652,35.11292,-15.57739,1.03274,0.35758,2.31222,-15.6334,-11.40564,-0.89478,0.01281,-0.01879,0.06315,-0.10369,-0.04832,0.00808,-0.12744,0.13135,-0.06171,55.68816,-5.63997,-9.76927,30.57963,-9.48396,45.96922,42.21462,-23.20494,2.71964,0.36417,4.18007,-45.42198,-72.88211,4.82918,-0.0105,-0.00213,0.08719,-0.09283,0.00459,0.00188,-0.12599,0.12543,-0.06991,54.48789,0.62764,-6.80891,32.04098,-2.51467,46.95703,35.35438,-15.21323,0.74546,0.54658,2.26952,-14.94898,-16.12528,-1.06519,0.01841,-0.00521,0.07125,-0.11546,-0.03449,0.01395,-0.13079,0.13288,-0.06005
9.375,54.61325,-0.49544,-5.71781,32.27611,-4.61247,46.84987,35.45903,-14.31865,1.36227,0.20233,2.22744,-23.55725,-16.05865,-1.11308,0.0124,-0.03793,0.05453,-0.09032,-0.05798,0.00874,-0.1184,0.12174,-0.05524,54.97399,-7.19821,-9.17161,30.45336,-11.17331,45.79205,41.9731,-21.87166,2.88533,0.18067,3.85164,-33.58929,-56.38504,0.19977,-0.00114,0.0015,0.11707,-0.12111,0.00597,-0.0008,-0.13049,0.12634,-0.07122,54.60349,-1.00483,-5.96214,32.00023,-4.89724,47.22561,35.53542,-13.86427,1.0693,0.39816,2.16602,-21.31023,-20.09205,-1.51683,0.0162,-0.01825,0.05847,-0.09515,-0.03396,0.01084,-0.11879,0.11441,-0.0535
11.45833,54.69099,-2.59144,-4.89788,32.28054,-7.38234,46.84038,35.80498,-13.04034,1.7402,0.01116,2.12468,-31.14924,-20.43702,-1.19452,0.0119,-0.05366,0.04539,-0.07663,-0.05564,0.00782,-0.10892,0.10977,-0.05042,54.06656,-8.7605,-8.51571,30.41804,-12.82574,45.44296,41.64731,-20.59314,3.00831,0.06179,3.58093,-22.26004,-46.03515,-2.59943,0.00597,0.00414,0.13534,-0.13533,0.00746,-0.00104,-0.13289,0.12824,-0.06965,54.70618,-3.32065,-5.11071,31.95949,-7.89813,47.26494,35.76158,-12.52408,1.445,0.21239,2.04672,-29.12169,-25.17242,-1.67638,0.01239,-0.03036,0.04582,-0.0749,-0.02418,0.00662,-0.10746,0.10138,-0.04887
13.54167,54.69964,-5.24927,-4.12643,32.30402,-10.52676,46.58898,36.19545,-11.78953,2.15635,-0.2061,2.00795,-37.3708,-24.16407,-1.03739,0.0128,-0.05992,0.03817,-0.06714,-0.04176,0.00714,-0.10077,0.09858,-0.04834,52.9899,-10.29128,-7.68923,30.40658,-14.38993,44.91303,41.2379,-19.31673,3.09022,-0.00878,3.33515,-13.00957,-42.3491,-3.4757,0.01036,0.0056,0.13864,-0.13449,0.00792,0.00195,-0.12981,0.13,-0.06611,54.73158,-6.23161,-4.30214,31.93626,-11.29468,47.04088,36.09845,-11.27256,1.8601,-0.00271,1.90923,-36.51096,-29.83869,-1.40586,0.00955,-0.03608,0.03716,-0.06192,-0.00818,0.00461,-0.09849,0.09565,-0.04698
15.625,54.57066,-8.30757,-3.42304,32.34971,-13.80041,46.09513,36.64047,-10.60191,2.59343,-0.43542,1.88305,-41.0796,-26.63638,-0.61062,0.01478,-0.05353,0.03344,-0.0634,-0.02052,0.0073,-0.09389,0.0892,-0.049,51.77469,-11.74781,-6.63536,30.40807,-15.81757,44.20638,40.76493,-17.95271,3.13987,-0.05402,3.09222,-7.16517,-43.02804,-2.94337,0.01257,0.0058,0.12804,-0.12247,0.00647,0.00673,-0.12009,0.13113,-0.06184,54.60895,-9.53447,-3.57816,31.9555,-14.79345,46.54857,36.54285,-10.13412,2.29443,-0.23087,1.75881,-41.21648,-32.37948,-0.73299,0.0085,-0.03189,0.03313,-0.05842,0.00925,0.00557,-0.09134,0.09293,-0.04755
17.70833,54.2216,-11.53224,-2.78962,32.42292,-16.94574,45.37436,37.11953,-9.48982,3.0294,-0.66062,1.75581,-41.48529,-27.51975,0.03133,0.01609,-0.03575,0.03021,-0.06396,0.00182,0.00786,-0.08715,0.081,-0.05148,50.4571,-13.08575,-5.36888,30.46123,-17.07518,43.34278,40.28507,-16.41704,3.1705,-0.09895,2.84577,-5.68332,-44.6849,-1.7516,0.01348,0.00487,0.10801,-0.10577,0.00331,0.01062,-0.105,0.13165,-0.05813,54.26287,-12.95123,-2.94848,32.02883,-18.09742,45.81302,37.04049,-9.08224,2.7245,-0.45203,1.60626,-41.66441,-32.01306,0.16432,0.00856,-0.01797,0.03158,-0.06156,0.02351,0.00785,-0.08431,0.08709,-0.0496
19.79167,53.55725,-14.65886,-2.20988,32.53005,-19.7355,44.44925,37.60322,-8.44843,3.44115,-0.86661,1.62911,-38.49738,-27.13561,0.77045,0.01495,-0.01169,0.02689,-0.0657,0.01947,0.00814,-0.07964,0.07311,-0.05442,49.07409,-14.26875,-3.9638,30.62839,-18.14969,42.35218,39.88514,-14.67375,3.1959,-0.16503,2.60127,-8.70999,-44.74233,-0.50128,0.01358,0.00313,0.08429,-0.09057,-0.00024,0.01136,-0.0874,0.1314,-0.05603,53.60675,-16.18847,-2.3877,32.15196,-20.96385,44.87426,37.52989,-8.07553,3.12787,-0.64845,1.46153,-37.67036,-29.46909,1.04484,0.00873,0.00173,0.02946,-0.06579,0.03183,0.00908,-0.07609,0.07521,-0.05197
