stride_pct,RL | leg1_a angle (deg),RL | leg1_e angle (deg),RL | leg2_a angle (deg),RL | leg2_e angle (deg),RL | leg3_a angle (deg),RL | leg3_e angle (deg),RL | leg4_a angle (deg),RL | leg4_e angle (deg),RL | spine angle (deg),RL | IMU pitch (deg),RL | IMU roll (deg),RL | pitch rate (deg/s),RL | roll rate (deg/s),RL | yaw rate (deg/s),RL | leg1_a torque (N m),RL | leg1_e torque (N m),RL | leg2_a torque (N m),RL | leg2_e torque (N m),RL | leg3_a torque (N m),RL | leg3_e torque (N m),RL | leg4_a torque (N m),RL | leg4_e torque (N m),RL | spine torque (N m),Old CPG | leg1_a angle (deg),Old CPG | leg1_e angle (deg),Old CPG | leg2_a angle (deg),Old CPG | leg2_e angle (deg),Old CPG | leg3_a angle (deg),Old CPG | leg3_e angle (deg),Old CPG | leg4_a angle (deg),Old CPG | leg4_e angle (deg),Old CPG | spine angle (deg),Old CPG | IMU pitch (deg),Old CPG | IMU roll (deg),Old CPG | pitch rate (deg/s),Old CPG | roll rate (deg/s),Old CPG | yaw rate (deg/s),Old CPG | leg1_a torque (N m),Old CPG | leg1_e torque (N m),Old CPG | leg2_a torque (N m),Old CPG | leg2_e torque (N m),Old CPG | leg3_a torque (N m),Old CPG | leg3_e torque (N m),Old CPG | leg4_a torque (N m),Old CPG | leg4_e torque (N m),Old CPG | spine torque (N m),Final CPG | leg1_a angle (deg),Final CPG | leg1_e angle (deg),Final CPG | leg2_a angle (deg),Final CPG | leg2_e angle (deg),Final CPG | leg3_a angle (deg),Final CPG | leg3_e angle (deg),Final CPG | leg4_a angle (deg),Final CPG | leg4_e angle (deg),Final CPG | spine angle (deg),Final CPG | IMU pitch (deg),Final CPG | IMU roll (deg),Final CPG | pitch rate (deg/s),Final CPG | roll rate (deg/s),Final CPG | yaw rate (deg/s),Final CPG | leg1_a torque (N m),Final CPG | leg1_e torque (N m),Final CPG | leg2_a torque (N m),Final CPG | leg2_e torque (N m),Final CPG | leg3_a torque (N m),Final CPG | leg3_e torque (N m),Final CPG | leg4_a torque (N m),Final CPG | leg4_e torque (N m),Final CPG | spine torque (N m)
1.04167,50.84018,-1.58134,-33.08602,4.72045,-34.62211,28.40476,16.36223,-21.70781,1.41254,-2.42151,1.16582,-1.93095,-4.22878,-5.46978,0.0079,-0.00395,0.19979,-0.06546,-0.00737,0.0097,-0.16904,0.26483,-0.04548,48.66622,-8.81289,-31.05152,7.6006,-33.00246,32.66254,18.12791,-23.6446,0.7974,-1.56092,0.47225,1.70547,-20.48615,7.00673,0.01588,0.00425,0.21484,-0.12104,-0.01036,-0.0162,-0.2062,0.25704,-0.02672,51.37307,-2.28454,-33.1053,4.89206,-35.47282,29.76239,16.52823,-21.13954,1.53476,-2.49275,1.0951,-10.66916,-22.33176,-11.71773,0.01183,-0.00037,0.20992,-0.05778,-0.00978,0.02012,-0.19412,0.26938,-0.04456
3.125,51.10685,-3.57556,-33.05925,4.06504,-33.60732,30.85261,17.31671,-20.42962,1.22161,-2.4621,1.16021,-6.10086,-5.0504,-6.46993,0.00832,-0.00547,0.19526,-0.05502,-0.01092,0.00733,-0.14381,0.24217,-0.04606,48.68824,-10.33804,-30.9208,6.08521,-32.67906,35.07896,18.38712,-21.96186,0.83009,-1.55077,0.38118,2.37018,-19.55469,4.79168,0.01471,0.00213,0.19778,-0.10127,-0.00408,-0.0172,-0.18445,0.21799,-0.0225,51.72686,-4.81891,-33.01291,4.17603,-34.45414,32.24935,17.25701,-19.65743,1.30997,-2.55896,1.0247,-10.8504,-19.00607,-13.19801,0.01073,0.00455,0.20139,-0.04876,-0.01072,0.01805,-0.14992,0.22728,-0.04307
5.20833,51.09004,-5.87429,-33.10679,3.41901,-32.29037,33.22864,18.3715,-19.07117,1.01308,-2.51956,1.14886,-8.62385,-4.67345,-6.88221,0.0085,-0.00715,0.18719,-0.04624,-0.01342,0.00282,-0.11939,0.21567,-0.04518,48.585,-11.82921,-30.8438,4.56194,-32.19298,37.43954,18.70759,-20.18769,0.84983,-1.54292,0.2945,2.64906,-19.02392,3.94628,0.01046,0.00243,0.18173,-0.08402,0.00137,-0.02054,-0.16511,0.1908,-0.01929,51.80369,-7.5904,-33.00078,3.46847,-33.10661,34.72542,18.1195,-18.15897,1.06855,-2.62352,0.971,-10.26729,-14.41416,-12.91391,0.00794,0.00535,0.19066,-0.04237,-0.01008,0.00642,-0.11273,0.19174,-0.04102
7.29167,50.68919,-8.35277,-33.22884,2.78919,-30.76754,35.5086,19.45897,-17.66746,0.79431,-2.58585,1.13082,-10.11226,-4.40249,-6.76695,0.00913,-0.00887,0.17675,-0.03876,-0.01465,-0.00282,-0.10094,0.19048,-0.04296,48.34363,-13.26479,-30.85665,3.08147,-31.52358,39.67707,19.12357,-18.38256,0.86896,-1.54444,0.19653,1.7299,-20.38514,4.6452,0.00432,0.0052,0.1679,-0.06969,0.00361,-0.02382,-0.15011,0.17835,-0.01782,51.46734,-10.43607,-33.06767,2.79766,-31.52084,37.13232,19.08776,-16.69237,0.82296,-2.68739,0.92305,-10.23655,-11.06342,-11.49417,0.00544,0.00141,0.17812,-0.03638,-0.00901,-0.00969,-0.08926,0.1673,-0.0386
9.375,49.85534,-10.87479,-33.42066,2.19113,-29.14076,37.65348,20.52143,-16.26028,0.5717,-2.65461,1.10135,-10.85901,-5.08283,-6.2885,0.01061,-0.01008,0.1651,-0.03234,-0.01492,-0.00806,-0.09026,0.1692,-0.03952,47.94012,-14.6042,-30.97542,1.67513,-30.66091,41.69261,19.64448,-16.55525,0.89382,-1.56143,0.07141,-0.40546,-23.9012,6.59031,-0.00119,0.00848,0.15535,-0.05689,0.00155,-0.02369,-0.13788,0.17527,-0.01812,50.63677,-13.23842,-33.20074,2.19577,-29.79393,39.36927,20.10082,-15.27003,0.58188,-2.7516,0.86655,-10.61092,-10.29987,-9.70026,0.00509,-0.00508,0.16405,-0.03006,-0.00927,-0.02253,-0.07914,0.15197,-0.03572
11.45833,48.61811,-13.2999,-33.67494,1.64243,-27.50608,39.61313,21.51495,-14.89271,0.34984,-2.71985,1.05501,-10.75722,-6.97796,-5.66253,0.01282,-0.01008,0.15332,-0.02707,-0.01483,-0.01148,-0.08631,0.15204,-0.03504,47.3491,-15.79629,-31.2022,0.36455,-29.61474,43.38946,20.26035,-14.68796,0.92296,-1.59511,-0.08699,-3.14898,-28.48805,9.07341,-0.00346,0.00952,0.14263,-0.04406,-0.00393,-0.01828,-0.12536,0.17222,-0.01948,49.32773,-15.90452,-33.38949,1.67881,-28.02587,41.33708,21.08167,-13.89598,0.35009,-2.81218,0.79083,-10.22058,-12.09348,-8.12335,0.00762,-0.01021,0.14918,-0.02427,-0.01194,-0.02608,-0.07728,0.14044,-0.03218
13.54167,47.08369,-15.48303,-33.98305,1.15343,-25.94462,41.33206,22.41275,-13.6022,0.13176,-2.77565,0.98824,-9.52832,-9.89548,-5.07171,0.01514,-0.00845,0.14227,-0.02317,-0.01482,-0.01235,-0.08661,0.13793,-0.02985,46.55841,-16.79753,-31.53597,-0.82529,-28.41586,44.71054,20.95641,-12.78179,0.94843,-1.64097,-0.27063,-5.64729,-32.3415,11.20864,-0.00128,0.00667,0.12924,-0.03085,-0.01024,-0.00883,-0.11044,0.16141,-0.02079,47.65844,-18.32238,-33.63345,1.23386,-26.3157,42.97573,21.96586,-12.59016,0.12976,-2.8604,0.69226,-7.95996,-15.45109,-6.99661,0.01213,-0.01052,0.13485,-0.02036,-0.01635,-0.01956,-0.07783,0.12821,-0.02797
15.625,45.40375,-17.27511,-34.33502,0.72181,-24.51576,42.75188,23.20708,-12.41261,-0.08001,-2.81704,0.90065,-7.07164,-13.42868,-4.58321,0.01679,-0.00548,0.13259,-0.02078,-0.0148,-0.01095,-0.08889,0.12591,-0.02441,45.58006,-17.58911,-31.97967,-1.8589,-27.10767,45.65602,21.72642,-10.89292,0.95932,-1.69065,-0.46076,-7.15059,-33.97557,12.26019,0.00416,0.00071,0.11588,-0.01835,-0.01424,0.00051,-0.09329,0.14035,-0.02092,45.81405,-20.32838,-33.93939,0.82521,-24.75185,44.27095,22.72577,-11.39004,-0.07748,-2.88758,0.57337,-3.76823,-19.14131,-6.17376,0.01649,-0.00506,0.12268,-0.01893,-0.02008,-0.00787,-0.07746,0.11446,-0.02336
17.70833,43.72812,-18.53332,-34.72013,0.33497,-23.25192,43.80968,23.90906,-11.32888,-0.28219,-2.84146,0.79452,-3.68514,-17.17453,-4.11196,0.01723,-0.00223,0.12465,-0.01972,-0.01422,-0.00826,-0.09191,0.11585,-0.01923,44.44985,-18.18149,-32.53878,-2.69367,-25.73112,46.26868,22.57707,-9.13643,0.94653,-1.73461,-0.63751,-7.17114,-33.09398,11.92771,0.00976,-0.00541,0.10365,-0.0083,-0.01395,0.00501,-0.07618,0.11225,-0.01919,43.98414,-21.71418,-34.31205,0.4178,-23.39516,45.22584,23.37815,-10.32893,-0.2688,-2.89091,0.43951,1.15183,-22.32906,-5.25981,0.01865,0.00369,0.11391,-0.01928,-0.02021,0.00147,-0.07642,0.10199,-0.0189
19.79167,42.16141,-19.1447,-35.13007,-0.02115,-22.15487,44.43677,24.5467,-10.33884,-0.4702,-2.84941,0.67337,0.0001,-20.85118,-3.46028,0.01644,-0.00016,0.11857,-0.01955,-0.01248,-0.00536,-0.09536,0.10827,-0.01482,43.21393,-18.60221,-33.21435,-3.29101,-24.31035,46.59387,23.52214,-7.65572,0.90656,-1.76427,-0.79031,-5.46023,-30.78914,10.4504,0.01227,-0.0082,0.09293,-0.0019,-0.00981,0.00245,-0.06206,0.08335,-0.01562,42.30038,-22.27981,-34.74719,0.00355,-22.25965,45.81734,23.97345,-9.40852,-0.43966,-2.87589,0.29541,5.03247,-24.84054,-3.83185,0.01785,0.01092,0.10886,-0.01994,-0.01533,0.00303,-0.07702,0.09475,-0.01523
