stride_pct,RL | leg1_a angle (deg),RL | leg1_e angle (deg),RL | leg2_a angle (deg),RL | leg2_e angle (deg),RL | leg3_a angle (deg),RL | leg3_e angle (deg),RL | leg4_a angle (deg),RL | leg4_e angle (deg),RL | spine angle (deg),RL | IMU pitch (deg),RL | IMU roll (deg),RL | pitch rate (deg/s),RL | roll rate (deg/s),RL | yaw rate (deg/s),RL | leg1_a torque (N m),RL | leg1_e torque (N m),RL | leg2_a torque (N m),RL | leg2_e torque (N m),RL | leg3_a torque (N m),RL | leg3_e torque (N m),RL | leg4_a torque (N m),RL | leg4_e torque (N m),RL | spine torque (N m),Old CPG | leg1_a angle (deg),Old CPG | leg1_e angle (deg),Old CPG | leg2_a angle (deg),Old CPG | leg2_e angle (deg),Old CPG | leg3_a angle (deg),Old CPG | leg3_e angle (deg),Old CPG | leg4_a angle (deg),Old CPG | leg4_e angle (deg),Old CPG | spine angle (deg),Old CPG | IMU pitch (deg),Old CPG | IMU roll (deg),Old CPG | pitch rate (deg/s),Old CPG | roll rate (deg/s),Old CPG | yaw rate (deg/s),Old CPG | leg1_a torque (N m),Old CPG | leg1_e torque (N m),Old CPG | leg2_a torque (N m),Old CPG | leg2_e torque (N m),Old CPG | leg3_a torque (N m),Old CPG | leg3_e torque (N m),Old CPG | leg4_a torque (N m),Old CPG | leg4_e torque (N m),Old CPG | spine torque (N m),Final CPG | leg1_a angle (deg),Final CPG | leg1_e angle (deg),Final CPG | leg2_a angle (deg),Final CPG | leg2_e angle (deg),Final CPG | leg3_a angle (deg),Final CPG | leg3_e angle (deg),Final CPG | leg4_a angle (deg),Final CPG | leg4_e angle (deg),Final CPG | spine angle (deg),Final CPG | IMU pitch (deg),Final CPG | IMU roll (deg),Final CPG | pitch rate (deg/s),Final CPG | roll rate (deg/s),Final CPG | yaw rate (deg/s),Final CPG | leg1_a torque (N m),Final CPG | leg1_e torque (N m),Final CPG | leg2_a torque (N m),Final CPG | leg2_e torque (N m),Final CPG | leg3_a torque (N m),Final CPG | leg3_e torque (N m),Final CPG | leg4_a torque (N m),Final CPG | leg4_e torque (N m),Final CPG | spine torque (N m)
1.04167,44.75244,-41.28516,-46.81739,26.46065,-45.40572,-0.03121,6.94163,-33.24868,1.06651,-1.88441,0.78986,-55.06457,23.19896,1.37571,0.00341,0.01171,0.07147,-0.12726,0.00386,0.0147,-0.12849,0.12083,-0.10793,44.83525,-38.26421,-45.77,23.48987,-39.94069,4.02763,4.84578,-34.17183,1.14237,-1.9867,1.91509,-27.33258,49.41083,19.12921,0.00916,0.00643,0.04963,-0.11217,-0.00585,-0.00492,-0.12652,0.1291,-0.09518,45.4563,-41.09031,-46.96818,25.67628,-45.12006,-0.02627,6.35192,-34.70447,1.16813,-1.84629,1.1209,-51.42263,29.41986,4.07948,0.01041,0.01537,0.08475,-0.14197,-0.0081,0.00531,-0.14011,0.14353,-0.11388
3.125,44.75843,-42.7329,-48.12827,25.24348,-45.48786,1.33005,7.23376,-32.26539,1.35722,-2.13756,0.92942,-51.21192,26.13549,1.94728,0.00414,0.0102,0.07687,-0.13036,-0.00128,0.02111,-0.12861,0.11391,-0.11174,44.69359,-39.85012,-46.47125,22.20645,-40.54456,5.44239,4.78145,-32.95677,1.64759,-2.18856,2.14212,-33.94868,46.82205,17.77293,0.00646,0.00834,0.05428,-0.12301,-0.00486,-0.0079,-0.12947,0.12751,-0.10081,45.4499,-42.61294,-48.36175,24.5,-45.25461,1.48119,6.68575,-33.7731,1.48082,-2.09049,1.27586,-48.95723,29.9456,4.61878,0.01009,0.0131,0.08461,-0.14028,-0.01305,-0.00139,-0.13316,0.13622,-0.11633
5.20833,44.50933,-44.05621,-49.30834,23.90276,-45.26863,3.13427,7.49571,-31.22515,1.6617,-2.36417,1.0779,-46.05312,28.09394,2.52112,0.00434,0.00818,0.07845,-0.13054,-0.00456,0.02473,-0.12816,0.10597,-0.11216,44.4095,-41.5076,-47.25231,20.81085,-41.04648,6.90754,4.76129,-31.5837,2.1218,-2.42168,2.34526,-39.93003,42.32815,16.45631,0.00283,0.00879,0.05831,-0.12917,-0.00599,-0.00759,-0.13032,0.12483,-0.10494,45.1895,-43.98863,-49.58761,23.18343,-45.09102,3.47216,6.97714,-32.69851,1.80018,-2.30984,1.44829,-45.49153,30.49833,4.99977,0.00877,0.00943,0.08184,-0.13562,-0.0137,-0.01219,-0.1259,0.12468,-0.11513
7.29167,44.01364,-45.24842,-50.34972,22.43989,-44.78801,5.30984,7.71954,-30.13885,1.96926,-2.56206,1.22674,-40.33171,28.56327,2.98152,0.00455,0.00627,0.07697,-0.12784,-0.0065,0.02426,-0.12805,0.09779,-0.11013,43.97089,-43.20945,-48.08855,19.31546,-41.42927,8.38146,4.78847,-30.06647,2.56137,-2.67605,2.52206,-44.29768,36.92978,15.35264,0.00035,0.00867,0.06144,-0.13164,-0.00949,-0.00518,-0.12636,0.11892,-0.10832,44.68291,-45.21184,-50.6385,21.72271,-44.6642,5.85298,7.20914,-31.51487,2.11785,-2.50596,1.62367,-41.7087,30.65485,5.2729,0.0074,0.0058,0.07771,-0.13013,-0.01112,-0.02434,-0.12175,0.11149,-0.1117
9.375,43.29245,-46.31518,-51.2625,20.87363,-44.10018,7.73535,7.9068,-29.02447,2.27049,-2.73201,1.36757,-34.58916,27.35535,3.21488,0.0052,0.00489,0.07352,-0.12227,-0.00771,0.01942,-0.12835,0.08972,-0.10668,43.37136,-44.92242,-48.97236,17.71721,-41.69326,9.83346,4.87118,-28.42054,2.95914,-2.94318,2.67432,-46.71971,31.83752,14.26265,0.00033,0.00873,0.06386,-0.13157,-0.01361,-0.00287,-0.11729,0.10804,-0.11089,43.9489,-46.29224,-51.53211,20.13814,-44.02246,8.47138,7.37672,-30.26779,2.42776,-2.68334,1.78685,-37.95853,29.86079,5.44323,0.00674,0.00332,0.07327,-0.12474,-0.0073,-0.03445,-0.12212,0.09874,-0.1074
11.45833,42.3767,-47.2686,-52.06386,19.2382,-43.26342,10.25931,8.06886,-27.90396,2.5567,-2.87607,1.4935,-29.12917,24.61647,3.14552,0.0065,0.00408,0.06925,-0.11394,-0.00872,0.01107,-0.12841,0.08188,-0.10266,42.61605,-46.60625,-49.90969,16.00096,-41.85067,11.24427,5.02651,-26.67391,3.30531,-3.21796,2.80718,-47.52358,27.93539,12.771,0.00279,0.00924,0.06586,-0.12962,-0.01575,-0.00251,-0.10514,0.09218,-0.11202,43.01563,-47.24718,-52.29807,18.46976,-43.21976,11.14517,7.48894,-29.00322,2.72432,-2.84601,1.92579,-34.27152,27.63516,5.46637,0.00712,0.00237,0.06916,-0.11893,-0.0044,-0.03971,-0.12605,0.08765,-0.10321
13.54167,41.30329,-48.12176,-52.77035,17.57675,-42.33174,12.72495,8.22603,-26.80077,2.81951,-2.99612,1.59995,-24.03901,20.75255,2.75945,0.00834,0.00358,0.06507,-0.10334,-0.00976,0.001,-0.12717,0.07431,-0.09862,41.72232,-48.21769,-50.90552,14.15564,-41.91322,12.59916,5.27672,-24.87544,3.59088,-3.49682,2.92677,-47.2854,25.40899,10.54147,0.0066,0.00988,0.06754,-0.12559,-0.01417,-0.00446,-0.09298,0.0736,-0.11098,41.91762,-48.09488,-52.96654,16.76824,-42.30862,13.69685,7.56957,-27.75986,3.00074,-2.99515,2.03402,-30.47392,23.78274,5.26784,0.00846,0.00258,0.0656,-0.11132,-0.00393,-0.03885,-0.13076,0.07857,-0.09958
15.625,40.11098,-48.88522,-53.39435,15.93292,-41.34977,14.9931,8.40511,-25.73845,3.051,-3.09283,1.68486,-19.24461,16.30001,2.10826,0.0104,0.00298,0.0615,-0.0913,-0.01083,-0.00857,-0.12362,0.06727,-0.09477,40.71541,-49.71721,-51.94618,12.19569,-41.88012,13.87833,5.63986,-23.09435,3.81167,-3.77384,3.03758,-46.2967,23.73139,7.58228,0.01015,0.01009,0.06865,-0.1186,-0.00913,-0.00737,-0.08315,0.05613,-0.10748,40.69204,-48.85012,-53.5608,15.08471,-41.33494,15.98338,7.65487,-26.56668,3.24826,-3.12817,2.11132,-26.34168,18.52729,4.77804,0.01036,0.0031,0.06252,-0.10053,-0.00619,-0.0326,-0.13278,0.0712,-0.09639
17.70833,38.83721,-49.56637,-53.94407,14.34356,-40.35129,16.95706,8.63515,-24.73998,3.24463,-3.16547,1.74845,-14.57695,11.7838,1.29376,0.0122,0.00197,0.0587,-0.07891,-0.01166,-0.01572,-0.11723,0.06114,-0.09106,39.62131,-51.07476,-52.98957,10.17599,-41.73421,15.05125,6.12088,-21.40931,3.97061,-4.03751,3.1409,-44.28289,22.02204,4.32635,0.01223,0.00944,0.06883,-0.10776,-0.00286,-0.009,-0.07615,0.0436,-0.10198,39.37574,-49.52343,-54.09441,13.46288,-40.33557,17.91239,7.78799,-25.44482,3.45704,-3.23954,2.16251,-21.72768,12.50373,3.97005,0.0123,0.00307,0.05975,-0.08612,-0.01015,-0.02339,-0.12931,0.06499,-0.09315
19.79167,37.51622,-50.17106,-54.42556,12.8347,-39.3606,18.54671,8.94216,-23.82732,3.39644,-3.2122,1.7926,-9.83614,7.60198,0.44026,0.01339,0.0005,0.05651,-0.06723,-0.01197,-0.01925,-0.10809,0.0564,-0.08738,38.46103,-52.27112,-53.97075,8.19023,-41.44878,16.07984,6.70893,-19.89165,4.07718,-4.27108,3.23529,-40.57577,19.59555,1.47295,0.01259,0.00788,0.06789,-0.09292,0.0017,-0.00764,-0.07076,0.03818,-0.09556,38.00335,-50.12295,-54.57242,11.93499,-39.33841,19.44106,8.01085,-24.41179,3.61841,-3.32284,2.195,-16.61947,6.59827,2.88671,0.01388,0.00201,0.05713,-0.06911,-0.01396,-0.01435,-0.11929,0.05942,-0.08934
