stride_pct,RL | leg1_a angle (deg),RL | leg1_e angle (deg),RL | leg2_a angle (deg),RL | leg2_e angle (deg),RL | leg3_a angle (deg),RL | leg3_e angle (deg),RL | leg4_a angle (deg),RL | leg4_e angle (deg),RL | IMU pitch (deg),RL | IMU roll (deg),RL | pitch rate (deg/s),RL | roll rate (deg/s),RL | yaw rate (deg/s),RL | leg1_a torque (N m),RL | leg1_e torque (N m),RL | leg2_a torque (N m),RL | leg2_e torque (N m),RL | leg3_a torque (N m),RL | leg3_e torque (N m),RL | leg4_a torque (N m),RL | leg4_e torque (N m),Old CPG | leg1_a angle (deg),Old CPG | leg1_e angle (deg),Old CPG | leg2_a angle (deg),Old CPG | leg2_e angle (deg),Old CPG | leg3_a angle (deg),Old CPG | leg3_e angle (deg),Old CPG | leg4_a angle (deg),Old CPG | leg4_e angle (deg),Old CPG | IMU pitch (deg),Old CPG | IMU roll (deg),Old CPG | pitch rate (deg/s),Old CPG | roll rate (deg/s),Old CPG | yaw rate (deg/s),Old CPG | leg1_a torque (N m),Old CPG | leg1_e torque (N m),Old CPG | leg2_a torque (N m),Old CPG | leg2_e torque (N m),Old CPG | leg3_a torque (N m),Old CPG | leg3_e torque (N m),Old CPG | leg4_a torque (N m),Old CPG | leg4_e torque (N m),Final CPG | leg1_a angle (deg),Final CPG | leg1_e angle (deg),Final CPG | leg2_a angle (deg),Final CPG | leg2_e angle (deg),Final CPG | leg3_a angle (deg),Final CPG | leg3_e angle (deg),Final CPG | leg4_a angle (deg),Final CPG | leg4_e angle (deg),Final CPG | IMU pitch (deg),Final CPG | IMU roll (deg),Final CPG | pitch rate (deg/s),Final CPG | roll rate (deg/s),Final CPG | yaw rate (deg/s),Final CPG | leg1_a torque (N m),Final CPG | leg1_e torque (N m),Final CPG | leg2_a torque (N m),Final CPG | leg2_e torque (N m),Final CPG | leg3_a torque (N m),Final CPG | leg3_e torque (N m),Final CPG | leg4_a torque (N m),Final CPG | leg4_e torque (N m)
1.04167,51.77853,2.68073,-34.94269,3.52493,-32.32768,19.868,27.39548,-9.98038,-1.46843,2.03975,-12.73194,-23.40607,-0.14062,0.00678,0.00438,0.05724,-0.02162,-0.01556,0.00873,-0.0928,0.08512,51.90751,-0.28882,-33.33953,6.57141,-31.59365,26.78213,29.09902,-10.5259,-0.91988,0.62552,1.0324,-31.09407,0.45809,0.00989,-0.00334,0.07843,-0.07197,-0.00307,-0.01332,-0.11127,0.1348,51.65902,2.79259,-34.6028,3.74408,-32.58915,22.61089,27.09326,-9.64924,-1.46918,1.9156,-13.87545,-28.53643,-1.89298,0.00695,0.00044,0.05435,-0.02476,-0.01129,-0.00923,-0.09825,0.07436
3.125,52.11893,2.26539,-35.47686,2.87132,-30.9494,23.2395,27.86994,-8.97226,-1.5387,1.9394,-10.92918,-24.17635,0.76336,0.00881,0.00262,0.05688,-0.01903,-0.01873,-0.01273,-0.08216,0.07235,51.89318,-1.19673,-33.68683,5.45316,-30.96115,28.30279,28.99481,-8.87801,-0.96013,0.43599,-3.06243,-38.88488,0.88101,0.00506,-0.00097,0.06225,-0.06188,-0.00535,-0.0097,-0.09786,0.12419,51.99549,2.41794,-35.11534,3.06988,-31.15633,26.03776,27.49843,-8.60413,-1.54229,1.79372,-12.58073,-30.09216,-0.54614,0.01047,-0.00302,0.05209,-0.01796,-0.01575,-0.03407,-0.08516,0.05848
5.20833,52.43221,1.5438,-36.08872,2.26948,-29.5912,26.29216,28.41446,-8.05163,-1.60575,1.8324,-9.3678,-24.43339,1.43891,0.01142,0.00119,0.05769,-0.0181,-0.02051,-0.02689,-0.07387,0.0628,51.73322,-2.12797,-34.17733,4.2743,-30.28324,29.57142,28.99088,-7.14533,-1.0227,0.22533,-8.12519,-44.09365,1.22815,0.00159,0.00015,0.05194,-0.05099,-0.00692,-0.00611,-0.08443,0.10877,52.30171,1.72767,-35.72517,2.44761,-29.71909,28.97,28.01687,-7.68707,-1.61336,1.66812,-11.09115,-29.95401,0.73911,0.0139,-0.00514,0.05319,-0.01484,-0.01982,-0.04247,-0.0736,0.04906
7.29167,52.69861,0.47947,-36.77883,1.72796,-28.35737,28.90661,29.00689,-7.22323,-1.66817,1.71971,-8.01073,-24.44716,1.74345,0.01343,0.00128,0.05859,-0.01768,-0.02007,-0.03485,-0.06818,0.05753,51.41542,-3.06229,-34.82691,3.08165,-29.58293,30.59122,29.11089,-5.40537,-1.10171,0.01339,-12.54397,-45.12415,1.16265,0.00037,0.00014,0.04782,-0.04108,-0.00683,-0.00356,-0.07198,0.09017,52.56933,0.66934,-36.43343,1.88984,-28.39763,31.33747,28.61814,-6.89493,-1.68092,1.54421,-9.36408,-28.26253,1.56442,0.01502,-0.00426,0.05587,-0.01481,-0.02165,-0.03776,-0.06428,0.04682
9.375,52.87077,-0.91984,-37.5273,1.24908,-27.32518,31.00161,29.61677,-6.47667,-1.72312,1.60183,-6.67422,-24.58448,1.6824,0.01384,0.00357,0.05864,-0.01685,-0.01711,-0.03991,-0.06494,0.05619,50.93977,-3.98454,-35.6252,1.92307,-28.88209,31.38538,29.36018,-3.75129,-1.18702,-0.18156,-15.08984,-42.13672,0.61058,0.00118,-0.00044,0.0477,-0.03332,-0.00484,-0.00264,-0.06085,0.0704,52.7615,-0.7623,-37.21322,1.40042,-27.28839,33.13527,29.25561,-6.19884,-1.74178,1.42548,-7.41665,-25.78461,1.76754,0.01268,0.00033,0.05809,-0.01649,-0.0199,-0.02805,-0.0577,0.05006
11.45833,52.87232,-2.59595,-38.30266,0.82766,-26.53204,32.52021,30.21842,-5.79501,-1.76676,1.47795,-5.08343,-25.26902,1.39086,0.01239,0.00787,0.05749,-0.01537,-0.01215,-0.04569,-0.06383,0.0573,50.31884,-4.88336,-36.54167,0.84019,-28.19369,31.97526,29.72777,-2.27328,-1.26709,-0.35014,-15.06278,-36.90389,-0.2387,0.0029,-0.00085,0.04822,-0.02821,-0.00164,-0.00317,-0.05097,0.05147,52.80528,-2.51427,-38.02269,0.97345,-26.44448,34.38282,29.88661,-5.56149,-1.79157,1.31134,-5.26771,-23.69426,1.45902,0.00757,0.00802,0.05841,-0.01837,-0.01449,-0.02237,-0.05416,0.0555
13.54167,52.60707,-4.44501,-39.07478,0.45287,-25.97242,33.4177,30.80159,-5.16449,-1.79485,1.34544,-2.95348,-26.88325,1.06505,0.00972,0.01308,0.05546,-0.01366,-0.00642,-0.0543,-0.06452,0.05896,49.57298,-5.74826,-37.53875,-0.13627,-27.51784,32.36082,30.19378,-1.04254,-1.33106,-0.49568,-12.30038,-32.03688,-1.04836,0.00421,-0.00057,0.04646,-0.02555,0.00137,-0.00423,-0.04224,0.03501,52.59678,-4.47715,-38.82299,0.59616,-25.86681,35.08503,30.48968,-4.95545,-1.82551,1.19636,-2.87709,-23.16685,0.94616,0.0022,0.01689,0.05661,-0.01937,-0.00677,-0.02682,-0.05378,0.05961
15.625,51.97874,-6.33229,-39.82637,0.11229,-25.60529,33.65886,31.37497,-4.58074,-1.80369,1.20007,-0.08308,-29.64474,0.87298,0.00715,0.01754,0.05339,-0.01257,-0.00148,-0.06529,-0.06669,0.05964,48.7228,-6.56645,-38.58587,-0.98752,-26.84432,32.51237,30.73874,-0.10237,-1.37013,-0.63264,-7.10816,-29.88864,-1.51174,0.00428,0.00047,0.04126,-0.02465,0.00267,-0.00448,-0.03497,0.02205,52.02137,-6.50029,-39.59377,0.25431,-25.50908,35.21341,31.07161,-4.37456,-1.83935,1.07144,-0.13073,-24.94935,0.57943,-7e-05,0.02427,0.05366,-0.01921,0.00091,-0.04192,-0.05636,0.06013
17.70833,50.91779,-8.11377,-40.55882,-0.20364,-25.36973,33.22735,31.96087,-4.04866,-1.79101,1.03703,3.55864,-33.50377,0.88159,0.00607,0.01964,0.05221,-0.01278,0.00148,-0.07586,-0.07001,0.05879,47.78275,-7.32113,-39.66845,-1.7048,-26.16136,32.37867,31.35094,0.53215,-1.37829,-0.78063,-0.16678,-31.56136,-1.5138,0.00331,0.0018,0.0337,-0.02461,0.00138,-0.00279,-0.0299,0.01287,50.98569,-8.41723,-40.33997,-0.06249,-25.29537,34.71594,31.66186,-3.83346,-1.83026,0.92658,3.10492,-29.07651,0.58804,0.00343,0.0277,0.0512,-0.01832,0.00614,-0.06252,-0.06136,0.05693
19.79167,49.40793,-9.65908,-41.29014,-0.49865,-25.20391,32.14331,32.58371,-3.57626,-1.75673,0.85253,7.77658,-38.10454,1.03025,0.00725,0.0185,0.05245,-0.01444,0.00218,-0.08216,-0.07403,0.05695,46.75915,-7.99223,-40.78821,-2.28572,-25.46781,31.90918,32.02831,0.86719,-1.35286,-0.95583,7.56043,-36.40314,-1.20653,0.00244,0.00261,0.02651,-0.02449,-0.00217,0.00103,-0.02795,0.00713,49.45247,-10.07469,-41.0879,-0.35763,-25.14493,33.55197,32.2969,-3.35612,-1.7976,0.75421,6.87561,-34.84113,0.97393,0.01326,0.02587,0.05068,-0.01748,0.00752,-0.08015,-0.06789,0.05191
