stride_pct,RL | leg1_a angle (deg),RL | leg1_e angle (deg),RL | leg2_a angle (deg),RL | leg2_e angle (deg),RL | leg3_a angle (deg),RL | leg3_e angle (deg),RL | leg4_a angle (deg),RL | leg4_e angle (deg),RL | spine angle (deg),RL | IMU pitch (deg),RL | IMU roll (deg),RL | pitch rate (deg/s),RL | roll rate (deg/s),RL | yaw rate (deg/s),RL | leg1_a torque (N m),RL | leg1_e torque (N m),RL | leg2_a torque (N m),RL | leg2_e torque (N m),RL | leg3_a torque (N m),RL | leg3_e torque (N m),RL | leg4_a torque (N m),RL | leg4_e torque (N m),RL | spine torque (N m),1 sine | leg1_a angle (deg),1 sine | leg1_e angle (deg),1 sine | leg2_a angle (deg),1 sine | leg2_e angle (deg),1 sine | leg3_a angle (deg),1 sine | leg3_e angle (deg),1 sine | leg4_a angle (deg),1 sine | leg4_e angle (deg),1 sine | spine angle (deg),1 sine | IMU pitch (deg),1 sine | IMU roll (deg),1 sine | pitch rate (deg/s),1 sine | roll rate (deg/s),1 sine | yaw rate (deg/s),1 sine | leg1_a torque (N m),1 sine | leg1_e torque (N m),1 sine | leg2_a torque (N m),1 sine | leg2_e torque (N m),1 sine | leg3_a torque (N m),1 sine | leg3_e torque (N m),1 sine | leg4_a torque (N m),1 sine | leg4_e torque (N m),1 sine | spine torque (N m),3 sines | leg1_a angle (deg),3 sines | leg1_e angle (deg),3 sines | leg2_a angle (deg),3 sines | leg2_e angle (deg),3 sines | leg3_a angle (deg),3 sines | leg3_e angle (deg),3 sines | leg4_a angle (deg),3 sines | leg4_e angle (deg),3 sines | spine angle (deg),3 sines | IMU pitch (deg),3 sines | IMU roll (deg),3 sines | pitch rate (deg/s),3 sines | roll rate (deg/s),3 sines | yaw rate (deg/s),3 sines | leg1_a torque (N m),3 sines | leg1_e torque (N m),3 sines | leg2_a torque (N m),3 sines | leg2_e torque (N m),3 sines | leg3_a torque (N m),3 sines | leg3_e torque (N m),3 sines | leg4_a torque (N m),3 sines | leg4_e torque (N m),3 sines | spine torque (N m),6 sines | leg1_a angle (deg),6 sines | leg1_e angle (deg),6 sines | leg2_a angle (deg),6 sines | leg2_e angle (deg),6 sines | leg3_a angle (deg),6 sines | leg3_e angle (deg),6 sines | leg4_a angle (deg),6 sines | leg4_e angle (deg),6 sines | spine angle (deg),6 sines | IMU pitch (deg),6 sines | IMU roll (deg),6 sines | pitch rate (deg/s),6 sines | roll rate (deg/s),6 sines | yaw rate (deg/s),6 sines | leg1_a torque (N m),6 sines | leg1_e torque (N m),6 sines | leg2_a torque (N m),6 sines | leg2_e torque (N m),6 sines | leg3_a torque (N m),6 sines | leg3_e torque (N m),6 sines | leg4_a torque (N m),6 sines | leg4_e torque (N m),6 sines | spine torque (N m)
1.04167,54.31624,2.34274,-9.33211,33.01328,0.51285,45.00914,33.65628,-19.21682,0.33495,0.56863,2.43019,6.72679,7.51733,-0.50225,-0.00815,0.00914,0.05556,-0.09014,0.01106,-0.02325,-0.11777,0.11195,-0.07102,54.6108,-2.79439,-11.87924,33.57754,-5.64124,45.09062,40.30694,-25.82298,0.05695,1.92875,4.37093,-59.72069,-93.77515,15.77115,-0.01963,-0.01593,0.00584,-0.00392,-0.01273,-0.01403,-0.13465,0.13664,-0.02875,54.03454,1.62642,-9.73529,33.09077,-0.17823,44.72616,34.41918,-17.887,0.38758,0.43903,2.35048,-3.38719,-11.96006,-0.62139,-0.01739,0.00035,0.05953,-0.09153,-0.00248,-0.01903,-0.13572,0.13977,-0.06858,54.34237,2.15436,-9.40935,32.61173,0.52934,45.24418,34.13881,-18.66516,0.07563,0.79213,2.53608,-3.33722,-7.15304,-0.16132,-0.00922,0.00523,0.06033,-0.0967,0.00614,-0.01965,-0.13118,0.13144,-0.0709
3.125,54.38041,2.26653,-8.33179,32.5897,0.09684,45.67862,34.21252,-17.97035,0.52368,0.5422,2.41757,-0.59992,-0.22413,-0.52495,0.00373,0.00679,0.06559,-0.10683,-0.00844,-0.00698,-0.13023,0.12777,-0.07146,54.6492,-3.8972,-11.01073,32.66638,-6.80882,45.39831,40.48095,-24.59028,0.32609,1.58188,3.91846,-66.33577,-87.82174,14.52337,-0.01157,-0.00784,0.03092,-0.03288,-0.00758,-0.00163,-0.12623,0.13019,-0.03277,54.04996,1.41979,-8.77879,32.68784,-0.66717,45.30927,34.94745,-16.83847,0.56341,0.39028,2.26014,-8.04374,-15.5716,-0.59125,0.00098,-0.00734,0.076,-0.11774,-0.01481,0.00148,-0.14219,0.15465,-0.0682,54.36651,2.06358,-8.47196,32.24996,0.11786,45.92688,34.7072,-17.60343,0.25616,0.7389,2.45434,-7.37697,-11.32116,-0.22197,0.00651,0.00697,0.07528,-0.12078,-0.01077,0.00028,-0.14098,0.14998,-0.07091
5.20833,54.44003,1.85959,-7.42615,32.38203,-0.83883,46.23328,34.70833,-16.78733,0.75427,0.47157,2.37653,-7.96348,-6.32668,-0.66629,0.01062,-0.00258,0.06781,-0.11081,-0.02998,0.00344,-0.13264,0.13437,-0.06784,54.49665,-5.11434,-10.30013,32.05147,-8.09488,45.56407,40.51883,-23.25338,0.64689,1.23301,3.53379,-66.15566,-72.81326,10.63108,-0.00495,-0.00031,0.0645,-0.06741,-0.00109,0.00517,-0.12175,0.12443,-0.03854,54.10823,0.85206,-7.91754,32.48405,-1.64779,45.8162,35.32671,-15.72587,0.7613,0.32115,2.16827,-10.90399,-16.13695,-0.87746,0.0146,-0.01092,0.08088,-0.12737,-0.0165,0.0136,-0.13842,0.14873,-0.06498,54.40508,1.60925,-7.63344,32.10004,-0.85281,46.50859,35.10917,-16.47463,0.47626,0.65835,2.36411,-10.61941,-13.60044,-0.55907,0.01587,0.00391,0.07847,-0.12645,-0.02578,0.01149,-0.1397,0.14834,-0.06665
7.29167,54.51909,0.97603,-6.56283,32.29906,-2.40202,46.63652,35.11292,-15.57739,1.03274,0.35758,2.31222,-15.6334,-11.40564,-0.89478,0.01281,-0.01879,0.06315,-0.10369,-0.04832,0.00808,-0.12744,0.13135,-0.06171,54.14035,-6.41368,-9.7311,31.68661,-9.46149,45.60073,40.47087,-21.85764,1.01682,0.90194,3.23009,-61.8953,-55.56048,5.58451,-0.00042,0.0042,0.09805,-0.1001,0.00437,0.00643,-0.12312,0.12332,-0.04589,54.23681,-0.18797,-7.07794,32.37297,-3.21572,46.23894,35.55384,-14.50194,0.99235,0.23064,2.07715,-13.58399,-16.48013,-1.28735,0.02111,-0.00759,0.07459,-0.12058,-0.00763,0.01656,-0.12815,0.12959,-0.06033,54.48789,0.62764,-6.80891,32.04098,-2.51467,46.95703,35.35438,-15.21323,0.74546,0.54658,2.26952,-14.94898,-16.12528,-1.06519,0.01841,-0.00521,0.07125,-0.11546,-0.03449,0.01395,-0.13079,0.13288,-0.06005
9.375,54.61325,-0.49544,-5.71781,32.27611,-4.61247,46.84987,35.45903,-14.31865,1.36227,0.20233,2.22744,-23.55725,-16.05865,-1.11308,0.0124,-0.03793,0.05453,-0.09032,-0.05798,0.00874,-0.1184,0.12174,-0.05524,53.58088,-7.76288,-9.23184,31.4931,-10.86295,45.50703,40.37378,-20.43964,1.42304,0.59747,2.99315,-56.27323,-42.14358,1.07055,0.00228,0.00512,0.12228,-0.12392,0.00715,0.00446,-0.12836,0.12704,-0.05393,54.41461,-1.78736,-6.22289,32.29305,-5.39656,46.53976,35.70672,-13.22069,1.26633,0.11483,1.9791,-17.22781,-18.6874,-1.55015,0.02079,0.00301,0.06139,-0.10287,0.00771,0.01306,-0.11555,0.10826,-0.05572,54.60349,-1.00483,-5.96214,32.00023,-4.89724,47.22561,35.53542,-13.86427,1.0693,0.39816,2.16602,-21.31023,-20.09205,-1.51683,0.0162,-0.01825,0.05847,-0.09515,-0.03396,0.01084,-0.11879,0.11441,-0.0535
11.45833,54.69099,-2.59144,-4.89788,32.28054,-7.38234,46.84038,35.80498,-13.04034,1.7402,0.01116,2.12468,-31.14924,-20.43702,-1.19452,0.0119,-0.05366,0.04539,-0.07663,-0.05564,0.00782,-0.10892,0.10977,-0.05042,52.82976,-9.1272,-8.70775,31.38859,-12.25025,45.26962,40.23503,-19.01417,1.84214,0.32147,2.79388,-50.99641,-35.69717,-1.71124,0.00411,0.00369,0.131,-0.13478,0.00682,0.00238,-0.1331,0.13222,-0.06111,54.57509,-3.97009,-5.36149,32.22999,-8.12109,46.66036,35.88712,-11.97804,1.58595,-0.02788,1.86415,-21.90757,-23.089,-1.46675,0.01624,0.01811,0.04715,-0.08239,0.02326,0.00759,-0.10376,0.09319,-0.05203,54.70618,-3.32065,-5.11071,31.95949,-7.89813,47.26494,35.76158,-12.52408,1.445,0.21239,2.04672,-29.12169,-25.17242,-1.67638,0.01239,-0.03036,0.04582,-0.0749,-0.02418,0.00662,-0.10746,0.10138,-0.04887
13.54167,54.69964,-5.24927,-4.12643,32.30402,-10.52676,46.58898,36.19545,-11.78953,2.15635,-0.2061,2.00795,-37.3708,-24.16407,-1.03739,0.0128,-0.05992,0.03817,-0.06714,-0.04176,0.00714,-0.10077,0.09858,-0.04834,51.90732,-10.46879,-8.08229,31.31566,-13.57746,44.87321,40.04309,-17.57685,2.24532,0.07296,2.60384,-46.52499,-35.71537,-2.44478,0.00612,0.00191,0.12332,-0.13271,0.00432,0.00231,-0.13288,0.13387,-0.06576,54.62465,-6.66823,-4.53421,32.19798,-11.22557,46.54529,36.16464,-10.84611,1.94463,-0.19309,1.72781,-26.66437,-28.27608,-1.01776,0.01098,0.03281,0.0366,-0.0664,0.03356,0.00404,-0.09417,0.08654,-0.04939,54.73158,-6.23161,-4.30214,31.93626,-11.29468,47.04088,36.09845,-11.27256,1.8601,-0.00271,1.90923,-36.51096,-29.83869,-1.40586,0.00955,-0.03608,0.03716,-0.06192,-0.00818,0.00461,-0.09849,0.09565,-0.04698
15.625,54.57066,-8.30757,-3.42304,32.34971,-13.80041,46.09513,36.64047,-10.60191,2.59343,-0.43542,1.88305,-41.0796,-26.63638,-0.61062,0.01478,-0.05353,0.03344,-0.0634,-0.02052,0.0073,-0.09389,0.0892,-0.049,50.84093,-11.74923,-7.32766,31.25898,-14.80791,44.31242,39.79335,-16.11835,2.60722,-0.15004,2.40656,-42.53398,-39.04933,-1.64975,0.00876,0.0013,0.10359,-0.12129,0.00135,0.00432,-0.12527,0.12821,-0.06687,54.46662,-9.71863,-3.78396,32.21377,-14.4792,46.16649,36.54838,-9.83733,2.32875,-0.37041,1.57484,-30.08916,-32.09974,-0.36905,0.00778,0.04217,0.0315,-0.05847,0.03638,0.00384,-0.08659,0.08451,-0.0474,54.60895,-9.53447,-3.57816,31.9555,-14.79345,46.54857,36.54285,-10.13412,2.29443,-0.23087,1.75881,-41.21648,-32.37948,-0.73299,0.0085,-0.03189,0.03313,-0.05842,0.00925,0.00557,-0.09134,0.09293,-0.04755
17.70833,54.2216,-11.53224,-2.78962,32.42292,-16.94574,45.37436,37.11953,-9.48982,3.0294,-0.66062,1.75581,-41.48529,-27.51975,0.03133,0.01609,-0.03575,0.03021,-0.06396,0.00182,0.00786,-0.08715,0.081,-0.05148,49.66219,-12.93426,-6.47175,31.24496,-15.91724,43.59792,39.51169,-14.6405,2.91399,-0.35063,2.2005,-38.62338,-41.94669,-0.26496,0.01154,0.00211,0.07907,-0.10576,-0.0004,0.00674,-0.11068,0.11467,-0.06464,54.01948,-12.8896,-3.13034,32.27937,-17.62849,45.53406,36.99615,-8.91241,2.72202,-0.54661,1.41674,-31.06742,-33.06282,0.22811,0.00759,0.04356,0.0304,-0.05763,0.03329,0.00579,-0.08001,0.08102,-0.04566,54.26287,-12.95123,-2.94848,32.02883,-18.09742,45.81302,37.04049,-9.08224,2.7245,-0.45203,1.60626,-41.66441,-32.01306,0.16432,0.00856,-0.01797,0.03158,-0.06156,0.02351,0.00785,-0.08431,0.08709,-0.0496
19.79167,53.55725,-14.65886,-2.20988,32.53005,-19.7355,44.44925,37.60322,-8.44843,3.44115,-0.86661,1.62911,-38.49738,-27.13561,0.77045,0.01495,-0.01169,0.02689,-0.0657,0.01947,0.00814,-0.07964,0.07311,-0.05442,48.40222,-13.99818,-5.58006,31.32575,-16.89184,42.75262,39.26018,-13.16413,3.16606,-0.53343,1.99385,-34.77394,-42.03181,0.88578,0.01338,0.00344,0.05667,-0.09085,-0.00016,0.0076,-0.09195,0.09631,-0.0604,53.22288,-15.92786,-2.56087,32.3826,-20.44185,44.68633,37.45047,-8.01936,3.10909,-0.70963,1.26465,-29.27397,-31.31031,0.58473,0.00963,0.0379,0.03015,-0.05987,0.02818,0.00743,-0.07359,0.0723,-0.04417,53.60675,-16.18847,-2.3877,32.15196,-20.96385,44.87426,37.52989,-8.07553,3.12787,-0.64845,1.46153,-37.67036,-29.46909,1.04484,0.00873,0.00173,0.02946,-0.06579,0.03183,0.00908,-0.07609,0.07521,-0.05197
