motor_delay_ms,robot_index,stride_rate_hz
20,0,4.006
20,1,3.952
20,2,4.002
20,3,4.024
20,4,3.966
20,5,4.002
20,6,4.048
20,7,4.022
20,8,3.99
20,9,3.974
20,10,4.008
20,11,3.964
20,12,3.962
20,13,4.004
20,14,4.02
20,15,3.97
20,16,4.038
20,17,4.024
20,18,3.954
20,19,3.972
20,20,4.03
20,21,3.99
20,22,3.972
20,23,4.012
20,24,4.014
20,25,3.972
20,26,3.998
20,27,3.974
20,28,3.986
20,29,3.986
20,30,4.012
20,31,4.024
40,0,3.592
40,1,3.588
40,0,3.662
40,1,3.7
40,2,3.682
40,3,3.7
40,4,3.698
40,5,3.678
40,6,3.616
40,7,3.646
40,8,3.638
40,9,3.658
40,10,3.646
40,11,3.628
40,12,3.674
40,13,3.688
40,14,3.642
40,15,3.646
40,16,3.64
40,17,3.682
40,18,3.642
40,19,3.686
40,20,3.678
40,21,3.66
40,22,3.618
40,23,3.626
40,24,3.636
40,25,3.644
40,26,3.65
40,27,3.654
40,28,3.632
40,29,3.668
