spine_amp_cmd_deg,spine_sine_phase_deg,spine_peak_pct_after_leg1a_fundamental,robots,falls,body_speed_m_s,heading_drift_deg_per_20s,spine_swing_real_deg,imu_tilt_max_deg,cost_of_transport
0.0,0.0,25.0,3,0,0.1393,59.0,0.93,3.61,0.65
0.0,30.0,16.7,3,0,0.1411,59.1,0.98,3.78,0.634
0.0,60.0,8.3,3,0,0.1418,61.5,0.99,4.35,0.641
0.0,90.0,0.0,3,0,0.1408,59.3,0.99,3.28,0.645
0.0,120.0,91.7,3,0,0.141,56.4,1.01,3.45,0.638
0.0,150.0,83.3,3,0,0.1418,53.8,0.99,3.76,0.635
0.0,180.0,75.0,3,0,0.1398,59.1,0.97,3.32,0.647
0.0,210.0,66.7,3,0,0.138,61.9,0.95,2.79,0.673
0.0,240.0,58.3,3,0,0.1413,60.1,1.01,3.95,0.639
0.0,270.0,50.0,3,0,0.1389,58.6,0.96,2.81,0.648
0.0,300.0,41.7,3,0,0.1379,62.2,0.96,3.31,0.663
0.0,330.0,33.3,3,0,0.1401,61.1,0.98,3.66,0.646
2.5,0.0,25.0,3,0,0.1409,29.0,2.07,3.86,0.656
2.5,30.0,16.7,3,0,0.1426,47.9,2.1,3.75,0.658
2.5,60.0,8.3,3,0,0.1412,61.1,2.05,3.39,0.642
2.5,90.0,0.0,3,0,0.1393,81.4,1.76,3.35,0.674
2.5,120.0,91.7,3,0,0.1416,93.9,1.38,3.91,0.634
2.5,150.0,83.3,3,0,0.1399,89.8,0.83,4.58,0.638
2.5,180.0,75.0,3,0,0.1401,83.6,0.29,3.32,0.633
2.5,210.0,66.7,3,0,0.1351,76.5,0.29,2.57,0.659
2.5,240.0,58.3,3,0,0.1381,48.6,0.8,3.04,0.619
2.5,270.0,50.0,3,0,0.1378,35.2,1.23,2.84,0.661
2.5,300.0,41.7,3,0,0.1379,12.6,1.62,2.71,0.628
2.5,330.0,33.3,3,0,0.1388,17.9,1.87,3.01,0.66
5.0,0.0,25.0,3,0,0.1406,-6.8,3.24,2.85,0.674
5.0,30.0,16.7,3,0,0.1421,30.3,3.29,3.95,0.676
