stride_pct,RL | leg1_a angle (deg),RL | leg1_e angle (deg),RL | leg2_a angle (deg),RL | leg2_e angle (deg),RL | leg3_a angle (deg),RL | leg3_e angle (deg),RL | leg4_a angle (deg),RL | leg4_e angle (deg),RL | spine angle (deg),RL | IMU pitch (deg),RL | IMU roll (deg),RL | pitch rate (deg/s),RL | roll rate (deg/s),RL | yaw rate (deg/s),RL | leg1_a torque (N m),RL | leg1_e torque (N m),RL | leg2_a torque (N m),RL | leg2_e torque (N m),RL | leg3_a torque (N m),RL | leg3_e torque (N m),RL | leg4_a torque (N m),RL | leg4_e torque (N m),RL | spine torque (N m),Final CPG | leg1_a angle (deg),Final CPG | leg1_e angle (deg),Final CPG | leg2_a angle (deg),Final CPG | leg2_e angle (deg),Final CPG | leg3_a angle (deg),Final CPG | leg3_e angle (deg),Final CPG | leg4_a angle (deg),Final CPG | leg4_e angle (deg),Final CPG | spine angle (deg),Final CPG | IMU pitch (deg),Final CPG | IMU roll (deg),Final CPG | pitch rate (deg/s),Final CPG | roll rate (deg/s),Final CPG | yaw rate (deg/s),Final CPG | leg1_a torque (N m),Final CPG | leg1_e torque (N m),Final CPG | leg2_a torque (N m),Final CPG | leg2_e torque (N m),Final CPG | leg3_a torque (N m),Final CPG | leg3_e torque (N m),Final CPG | leg4_a torque (N m),Final CPG | leg4_e torque (N m),Final CPG | spine torque (N m),Spine 15 trim | leg1_a angle (deg),Spine 15 trim | leg1_e angle (deg),Spine 15 trim | leg2_a angle (deg),Spine 15 trim | leg2_e angle (deg),Spine 15 trim | leg3_a angle (deg),Spine 15 trim | leg3_e angle (deg),Spine 15 trim | leg4_a angle (deg),Spine 15 trim | leg4_e angle (deg),Spine 15 trim | spine angle (deg),Spine 15 trim | IMU pitch (deg),Spine 15 trim | IMU roll (deg),Spine 15 trim | pitch rate (deg/s),Spine 15 trim | roll rate (deg/s),Spine 15 trim | yaw rate (deg/s),Spine 15 trim | leg1_a torque (N m),Spine 15 trim | leg1_e torque (N m),Spine 15 trim | leg2_a torque (N m),Spine 15 trim | leg2_e torque (N m),Spine 15 trim | leg3_a torque (N m),Spine 15 trim | leg3_e torque (N m),Spine 15 trim | leg4_a torque (N m),Spine 15 trim | leg4_e torque (N m),Spine 15 trim | spine torque (N m),Spine 17.5 trim | leg1_a angle (deg),Spine 17.5 trim | leg1_e angle (deg),Spine 17.5 trim | leg2_a angle (deg),Spine 17.5 trim | leg2_e angle (deg),Spine 17.5 trim | leg3_a angle (deg),Spine 17.5 trim | leg3_e angle (deg),Spine 17.5 trim | leg4_a angle (deg),Spine 17.5 trim | leg4_e angle (deg),Spine 17.5 trim | spine angle (deg),Spine 17.5 trim | IMU pitch (deg),Spine 17.5 trim | IMU roll (deg),Spine 17.5 trim | pitch rate (deg/s),Spine 17.5 trim | roll rate (deg/s),Spine 17.5 trim | yaw rate (deg/s),Spine 17.5 trim | leg1_a torque (N m),Spine 17.5 trim | leg1_e torque (N m),Spine 17.5 trim | leg2_a torque (N m),Spine 17.5 trim | leg2_e torque (N m),Spine 17.5 trim | leg3_a torque (N m),Spine 17.5 trim | leg3_e torque (N m),Spine 17.5 trim | leg4_a torque (N m),Spine 17.5 trim | leg4_e torque (N m),Spine 17.5 trim | spine torque (N m)
1.04167,54.31624,2.34274,-9.33211,33.01328,0.51285,45.00914,33.65628,-19.21682,0.33495,0.56863,2.43019,6.72679,7.51733,-0.50225,-0.00815,0.00914,0.05556,-0.09014,0.01106,-0.02325,-0.11777,0.11195,-0.07102,54.59329,2.08897,-9.34861,32.41039,0.6808,45.19635,34.14758,-18.88154,0.28866,0.6556,2.71831,-4.79413,-7.46867,-0.01406,-0.01118,0.00495,0.05835,-0.09192,0.00738,-0.018,-0.13092,0.13122,-0.07149,53.59216,1.30562,-9.3339,32.94331,1.16926,44.90187,36.74554,-18.44034,2.55892,-0.21167,3.29292,-150.35778,-31.37251,15.02758,-0.00602,0.01726,0.04522,-0.03666,-0.0235,-0.05898,-0.13873,0.1206,-0.00445,53.68097,1.31062,-9.17479,33.2198,1.14925,44.69948,36.92709,-18.6709,2.74488,-0.25151,3.37793,-170.9413,-32.94613,21.1402,-0.00336,0.01362,0.03127,-0.02202,-0.02376,-0.06918,-0.13787,0.1095,0.00432
3.125,54.38041,2.26653,-8.33179,32.5897,0.09684,45.67862,34.21252,-17.97035,0.52368,0.5422,2.41757,-0.59992,-0.22413,-0.52495,0.00373,0.00679,0.06559,-0.10683,-0.00844,-0.00698,-0.13023,0.12777,-0.07146,54.61669,1.99761,-8.41862,32.05632,0.2701,45.8702,34.75897,-17.82749,0.47535,0.59239,2.63631,-8.8564,-11.1849,-0.17262,0.00478,0.00669,0.07439,-0.11764,-0.00957,0.00227,-0.1407,0.14963,-0.07206,53.70127,1.2077,-8.47118,32.27072,0.64251,45.51557,37.36168,-16.6249,3.7994,-1.02438,3.13308,-152.07748,-26.70102,10.35289,0.00294,0.00933,0.07724,-0.0664,-0.02235,-0.02988,-0.14177,0.12048,-0.01234,53.80834,1.24369,-8.32059,32.4791,0.62575,45.32805,37.59945,-16.78058,4.17513,-1.17926,3.21517,-173.10157,-27.20454,15.42406,0.00331,0.00814,0.06654,-0.05195,-0.0228,-0.0404,-0.14053,0.11037,-0.00417
5.20833,54.44003,1.85959,-7.42615,32.38203,-0.83883,46.23328,34.70833,-16.78733,0.75427,0.47157,2.37653,-7.96348,-6.32668,-0.66629,0.01062,-0.00258,0.06781,-0.11081,-0.02998,0.00344,-0.13264,0.13437,-0.06784,54.65462,1.54179,-7.58639,31.91637,-0.69653,46.44485,35.19734,-16.70597,0.70121,0.50208,2.54619,-11.93126,-13.03108,-0.6031,0.01443,0.00379,0.07896,-0.12565,-0.02501,0.01349,-0.1397,0.14809,-0.06828,53.83241,0.79344,-7.82744,31.91962,-0.32161,46.00676,37.78388,-14.84222,4.99165,-1.78954,3.02145,-144.6938,-18.6198,4.72961,0.00904,0.00419,0.10253,-0.08772,-0.01407,-0.00394,-0.13693,0.10231,-0.01966,53.94413,0.86453,-7.71866,32.08118,-0.31774,45.83229,38.07696,-14.94414,5.55285,-2.05652,3.10976,-165.32005,-17.59111,8.20216,0.00766,0.00558,0.09829,-0.07631,-0.01527,-0.0126,-0.13588,0.09486,-0.0126
7.29167,54.51909,0.97603,-6.56283,32.29906,-2.40202,46.63652,35.11292,-15.57739,1.03274,0.35758,2.31222,-15.6334,-11.40564,-0.89478,0.01281,-0.01879,0.06315,-0.10369,-0.04832,0.00808,-0.12744,0.13135,-0.06171,54.73749,0.55818,-6.76528,31.86716,-2.35396,46.89166,35.46611,-15.44981,0.97397,0.38255,2.45304,-16.01935,-15.22526,-1.15433,0.01726,-0.00507,0.07285,-0.11683,-0.0343,0.01554,-0.13129,0.13288,-0.06186,54.00597,-0.03612,-7.28142,31.78059,-1.81494,46.39958,38.05406,-13.13594,6.10248,-2.48117,2.95109,-132.20811,-11.75991,-0.6202,0.01259,0.00218,0.11529,-0.09672,0.00034,0.0134,-0.1293,0.07584,-0.0258,54.10858,0.07919,-7.23749,31.91891,-1.76947,46.23731,38.39784,-13.19817,6.83989,-2.85432,3.05379,-151.91322,-9.07838,1.12095,0.01074,0.00473,0.11852,-0.09005,-0.00176,0.00827,-0.1291,0.07099,-0.02003
9.375,54.61325,-0.49544,-5.71781,32.27611,-4.61247,46.84987,35.45903,-14.31865,1.36227,0.20233,2.22744,-23.55725,-16.05865,-1.11308,0.0124,-0.03793,0.05453,-0.09032,-0.05798,0.00874,-0.1184,0.12174,-0.05524,54.8534,-1.07578,-5.9182,31.83435,-4.73412,47.16601,35.65466,-14.10274,1.29816,0.2289,2.35295,-22.19758,-18.98624,-1.59077,0.0153,-0.0179,0.06045,-0.09782,-0.03422,0.0117,-0.11984,0.11463,-0.0551,54.20135,-1.36984,-6.72448,31.75943,-3.89307,46.70312,38.25529,-11.58381,7.09933,-3.09119,2.90311,-118.47878,-8.68443,-4.58988,0.01472,0.00317,0.11395,-0.09415,0.01763,0.01971,-0.12262,0.05344,-0.03016,54.28732,-1.1987,-6.75123,31.8922,-3.78987,46.55694,38.64028,-11.61059,7.9998,-3.56337,3.02612,-137.11264,-4.60394,-4.29809,0.01377,0.00462,0.12316,-0.09222,0.01495,0.01851,-0.12382,0.04994,-0.02554
11.45833,54.69099,-2.59144,-4.89788,32.28054,-7.38234,46.84038,35.80498,-13.04034,1.7402,0.01116,2.12468,-31.14924,-20.43702,-1.19452,0.0119,-0.05366,0.04539,-0.07663,-0.05564,0.00782,-0.10892,0.10977,-0.05042,54.95561,-3.39167,-5.06301,31.79892,-7.73484,47.21746,35.87287,-12.76069,1.67126,0.03969,2.23912,-29.95981,-23.97025,-1.69555,0.01177,-0.02999,0.04736,-0.07775,-0.02459,0.00666,-0.10889,0.10168,-0.04998,54.36093,-3.26381,-6.09873,31.79677,-6.52846,46.89719,38.45854,-10.24592,7.95671,-3.62228,2.85898,-105.62935,-9.35398,-6.59614,0.01632,0.00675,0.10138,-0.08457,0.03327,0.0166,-0.11791,0.0437,-0.03245,54.43216,-3.03041,-6.18535,31.93139,-6.36285,46.77763,38.87085,-10.23486,9.00475,-4.18635,3.00566,-123.26407,-4.42749,-7.22967,0.01698,0.0053,0.11343,-0.08581,0.03063,0.01837,-0.12074,0.04013,-0.02877
13.54167,54.69964,-5.24927,-4.12643,32.30402,-10.52676,46.58898,36.19545,-11.78953,2.15635,-0.2061,2.00795,-37.3708,-24.16407,-1.03739,0.0128,-0.05992,0.03817,-0.06714,-0.04176,0.00714,-0.10077,0.09858,-0.04834,54.97894,-6.30114,-4.24849,31.77857,-11.13138,47.008,36.19023,-11.50427,2.08211,-0.17843,2.10845,-37.41359,-28.62708,-1.36861,0.0092,-0.03589,0.03772,-0.06403,-0.00847,0.00406,-0.09993,0.09586,-0.0475,54.40674,-5.71284,-5.40626,31.8678,-9.58567,46.9353,38.69163,-9.12786,8.66203,-4.07858,2.80835,-93.58689,-11.93368,-6.74582,0.01733,0.0123,0.08326,-0.07389,0.04319,0.00884,-0.11369,0.04754,-0.03316,54.47297,-5.42483,-5.5323,32.00251,-9.36593,46.85802,39.11533,-9.07636,9.84082,-4.72736,2.97974,-110.25556,-6.84259,-7.78071,0.01926,0.00771,0.0948,-0.07604,0.04121,0.01175,-0.11798,0.04325,-0.03028
15.625,54.57066,-8.30757,-3.42304,32.34971,-13.80041,46.09513,36.64047,-10.60191,2.59343,-0.43542,1.88305,-41.0796,-26.63638,-0.61062,0.01478,-0.05353,0.03344,-0.0634,-0.02052,0.0073,-0.09389,0.0892,-0.049,54.85284,-9.60189,-3.51795,31.79893,-14.62758,46.52789,36.60902,-10.35927,2.51227,-0.41028,1.96501,-42.20269,-31.2277,-0.67009,0.00837,-0.03196,0.03265,-0.05945,0.00918,0.00487,-0.09241,0.09295,-0.04763,54.25911,-8.62756,-4.68938,31.96849,-12.83591,46.76364,38.94103,-8.17889,9.21737,-4.45942,2.75018,-80.85823,-14.2509,-5.6894,0.01687,0.01904,0.06547,-0.06665,0.04545,0.00191,-0.10755,0.05883,-0.03354,54.33223,-8.31128,-4.83433,32.09757,-12.57919,46.74466,39.36164,-8.08962,10.50851,-5.1847,2.94559,-96.34953,-9.57946,-6.79198,0.01893,0.01282,0.07431,-0.06776,0.04448,0.00417,-0.11274,0.05422,-0.03149
17.70833,54.2216,-11.53224,-2.78962,32.42292,-16.94574,45.37436,37.11953,-9.48982,3.0294,-0.66062,1.75581,-41.48529,-27.51975,0.03133,0.01609,-0.03575,0.03021,-0.06396,0.00182,0.00786,-0.08715,0.081,-0.05148,54.50313,-13.01756,-2.88233,31.87212,-17.92546,45.7988,37.07996,-9.30059,2.93953,-0.63606,1.8185,-42.65225,-30.96378,0.21222,0.00852,-0.0182,0.03043,-0.06172,0.02354,0.00744,-0.08473,0.08697,-0.04953,53.84705,-11.82992,-3.99667,32.10001,-16.0079,46.34521,39.17813,-7.32331,9.63535,-4.7589,2.68887,-65.98068,-15.00126,-4.24696,0.01427,0.02583,0.05171,-0.06435,0.04097,-0.00061,-0.09794,0.06874,-0.0353,53.93432,-11.5271,-4.14713,32.21997,-15.7331,46.39517,39.58577,-7.20581,11.0177,-5.55026,2.90675,-79.82139,-11.02217,-5.3288,0.01526,0.02046,0.05745,-0.06365,0.04094,7e-05,-0.1033,0.06487,-0.03417
19.79167,53.55725,-14.65886,-2.20988,32.53005,-19.7355,44.44925,37.60322,-8.44843,3.44115,-0.86661,1.62911,-38.49738,-27.13561,0.77045,0.01495,-0.01169,0.02689,-0.0657,0.01947,0.00814,-0.07964,0.07311,-0.05442,53.8448,-16.25617,-2.3167,31.99406,-20.78439,44.86084,37.5447,-8.28767,3.34171,-0.83748,1.67847,-38.54476,-28.50778,1.05259,0.00861,0.00156,0.02823,-0.0656,0.03175,0.00916,-0.07579,0.07505,-0.05201,53.10749,-15.0739,-3.35466,32.26166,-18.85262,45.67514,39.38979,-6.50402,9.93034,-4.97033,2.62942,-48.75699,-14.12378,-3.00468,0.01022,0.03125,0.04253,-0.06559,0.03299,0.00157,-0.08534,0.07107,-0.03989,53.20729,-14.83095,-3.50614,32.37488,-18.57416,45.79541,39.78048,-6.37217,11.37902,-5.81488,2.8685,-60.39703,-10.67444,-4.13751,0.00964,0.02878,0.04625,-0.06362,0.03346,0.00084,-0.09019,0.06892,-0.03966
