stride_pct,RL | leg1_a angle (deg),RL | leg1_e angle (deg),RL | leg2_a angle (deg),RL | leg2_e angle (deg),RL | leg3_a angle (deg),RL | leg3_e angle (deg),RL | leg4_a angle (deg),RL | leg4_e angle (deg),RL | spine angle (deg),RL | IMU pitch (deg),RL | IMU roll (deg),RL | pitch rate (deg/s),RL | roll rate (deg/s),RL | yaw rate (deg/s),RL | leg1_a torque (N m),RL | leg1_e torque (N m),RL | leg2_a torque (N m),RL | leg2_e torque (N m),RL | leg3_a torque (N m),RL | leg3_e torque (N m),RL | leg4_a torque (N m),RL | leg4_e torque (N m),RL | spine torque (N m),Before correction | leg1_a angle (deg),Before correction | leg1_e angle (deg),Before correction | leg2_a angle (deg),Before correction | leg2_e angle (deg),Before correction | leg3_a angle (deg),Before correction | leg3_e angle (deg),Before correction | leg4_a angle (deg),Before correction | leg4_e angle (deg),Before correction | spine angle (deg),Before correction | IMU pitch (deg),Before correction | IMU roll (deg),Before correction | pitch rate (deg/s),Before correction | roll rate (deg/s),Before correction | yaw rate (deg/s),Before correction | leg1_a torque (N m),Before correction | leg1_e torque (N m),Before correction | leg2_a torque (N m),Before correction | leg2_e torque (N m),Before correction | leg3_a torque (N m),Before correction | leg3_e torque (N m),Before correction | leg4_a torque (N m),Before correction | leg4_e torque (N m),Before correction | spine torque (N m),After correction | leg1_a angle (deg),After correction | leg1_e angle (deg),After correction | leg2_a angle (deg),After correction | leg2_e angle (deg),After correction | leg3_a angle (deg),After correction | leg3_e angle (deg),After correction | leg4_a angle (deg),After correction | leg4_e angle (deg),After correction | spine angle (deg),After correction | IMU pitch (deg),After correction | IMU roll (deg),After correction | pitch rate (deg/s),After correction | roll rate (deg/s),After correction | yaw rate (deg/s),After correction | leg1_a torque (N m),After correction | leg1_e torque (N m),After correction | leg2_a torque (N m),After correction | leg2_e torque (N m),After correction | leg3_a torque (N m),After correction | leg3_e torque (N m),After correction | leg4_a torque (N m),After correction | leg4_e torque (N m),After correction | spine torque (N m)
1.04167,50.84018,-1.58134,-33.08602,4.72045,-34.62211,28.40476,16.36223,-21.70781,1.41254,-2.42151,1.16582,-1.93095,-4.22878,-5.46978,0.0079,-0.00395,0.19979,-0.06546,-0.00737,0.0097,-0.16904,0.26483,-0.04548,51.22306,-2.7196,-32.72422,5.05237,-35.06337,29.95021,17.15162,-20.8049,1.3328,-2.54432,1.27151,-13.03931,-19.80098,-12.71583,0.01235,-0.00052,0.20883,-0.05829,-0.00949,0.01901,-0.18516,0.25283,-0.04337,51.37307,-2.28454,-33.1053,4.89206,-35.47282,29.76239,16.52823,-21.13954,1.53476,-2.49275,1.0951,-10.66916,-22.33176,-11.71773,0.01183,-0.00037,0.20992,-0.05778,-0.00978,0.02012,-0.19412,0.26938,-0.04456
3.125,51.10685,-3.57556,-33.05925,4.06504,-33.60732,30.85261,17.31671,-20.42962,1.22161,-2.4621,1.16021,-6.10086,-5.0504,-6.46993,0.00832,-0.00547,0.19526,-0.05502,-0.01092,0.00733,-0.14381,0.24217,-0.04606,51.53698,-5.24357,-32.63733,4.27329,-34.05432,32.42501,17.88827,-19.25845,1.1077,-2.61788,1.21278,-12.18745,-16.4631,-14.01356,0.01094,0.00499,0.19704,-0.04705,-0.01038,0.01779,-0.14056,0.21091,-0.04173,51.72686,-4.81891,-33.01291,4.17603,-34.45414,32.24935,17.25701,-19.65743,1.30997,-2.55896,1.0247,-10.8504,-19.00607,-13.19801,0.01073,0.00455,0.20139,-0.04876,-0.01072,0.01805,-0.14992,0.22728,-0.04307
5.20833,51.09004,-5.87429,-33.10679,3.41901,-32.29037,33.22864,18.3715,-19.07117,1.01308,-2.51956,1.14886,-8.62385,-4.67345,-6.88221,0.0085,-0.00715,0.18719,-0.04624,-0.01342,0.00282,-0.11939,0.21567,-0.04518,51.57583,-8.01316,-32.62918,3.51961,-32.73214,34.88412,18.75314,-17.745,0.86644,-2.68546,1.16845,-10.90429,-12.33095,-13.78122,0.00775,0.00642,0.18501,-0.04029,-0.0099,0.00677,-0.10581,0.17885,-0.03977,51.80369,-7.5904,-33.00078,3.46847,-33.10661,34.72542,18.1195,-18.15897,1.06855,-2.62352,0.971,-10.26729,-14.41416,-12.91391,0.00794,0.00535,0.19066,-0.04237,-0.01008,0.00642,-0.11273,0.19174,-0.04102
7.29167,50.68919,-8.35277,-33.22884,2.78919,-30.76754,35.5086,19.45897,-17.66746,0.79431,-2.58585,1.13082,-10.11226,-4.40249,-6.76695,0.00913,-0.00887,0.17675,-0.03876,-0.01465,-0.00282,-0.10094,0.19048,-0.04296,51.21441,-10.86765,-32.70512,2.82451,-31.18863,37.27914,19.71157,-16.29996,0.62014,-2.74885,1.12877,-10.31544,-9.28062,-12.5922,0.00495,0.00287,0.17297,-0.03545,-0.00886,-0.00937,-0.08585,0.15888,-0.03752,51.46734,-10.43607,-33.06767,2.79766,-31.52084,37.13232,19.08776,-16.69237,0.82296,-2.68739,0.92305,-10.23655,-11.06342,-11.49417,0.00544,0.00141,0.17812,-0.03638,-0.00901,-0.00969,-0.08926,0.1673,-0.0386
9.375,49.85534,-10.87479,-33.42066,2.19113,-29.14076,37.65348,20.52143,-16.26028,0.5717,-2.65461,1.10135,-10.85901,-5.08283,-6.2885,0.01061,-0.01008,0.1651,-0.03234,-0.01492,-0.00806,-0.09026,0.1692,-0.03952,50.37948,-13.68329,-32.85209,2.21265,-29.5193,39.51435,20.69849,-14.91574,0.37664,-2.80964,1.08193,-10.17624,-8.38292,-11.09103,0.00451,-0.00375,0.16027,-0.03077,-0.00882,-0.02282,-0.07866,0.14703,-0.03473,50.63677,-13.23842,-33.20074,2.19577,-29.79393,39.36927,20.10082,-15.27003,0.58188,-2.7516,0.86655,-10.61092,-10.29987,-9.70026,0.00509,-0.00508,0.16405,-0.03006,-0.00927,-0.02253,-0.07914,0.15197,-0.03572
11.45833,48.61811,-13.2999,-33.67494,1.64243,-27.50608,39.61313,21.51495,-14.89271,0.34984,-2.71985,1.05501,-10.75722,-6.97796,-5.66253,0.01282,-0.01008,0.15332,-0.02707,-0.01483,-0.01148,-0.08631,0.15204,-0.03504,49.08881,-16.35908,-33.05288,1.68665,-27.81791,41.48755,21.63815,-13.57888,0.14078,-2.86451,1.0189,-9.3307,-9.74572,-9.74721,0.00717,-0.00958,0.14663,-0.02597,-0.01098,-0.02704,-0.0783,0.13711,-0.03121,49.32773,-15.90452,-33.38949,1.67881,-28.02587,41.33708,21.08167,-13.89598,0.35009,-2.81218,0.79083,-10.22058,-12.09348,-8.12335,0.00762,-0.01021,0.14918,-0.02427,-0.01194,-0.02608,-0.07728,0.14044,-0.03218
13.54167,47.08369,-15.48303,-33.98305,1.15343,-25.94462,41.33206,22.41275,-13.6022,0.13176,-2.77565,0.98824,-9.52832,-9.89548,-5.07171,0.01514,-0.00845,0.14227,-0.02317,-0.01482,-0.01235,-0.08661,0.13793,-0.02985,47.45658,-18.78238,-33.29813,1.22357,-26.17348,43.1298,22.4725,-12.30101,-0.08431,-2.90561,0.93558,-6.74138,-12.73937,-8.7225,0.01194,-0.0109,0.13279,-0.02191,-0.01503,-0.02065,-0.07905,0.12511,-0.02701,47.65844,-18.32238,-33.63345,1.23386,-26.3157,42.97573,21.96586,-12.59016,0.12976,-2.8604,0.69226,-7.95996,-15.45109,-6.99661,0.01213,-0.01052,0.13485,-0.02036,-0.01635,-0.01956,-0.07783,0.12821,-0.02797
15.625,45.40375,-17.27511,-34.33502,0.72181,-24.51576,42.75188,23.20708,-12.41261,-0.08001,-2.81704,0.90065,-7.07164,-13.42868,-4.58321,0.01679,-0.00548,0.13259,-0.02078,-0.0148,-0.01095,-0.08889,0.12591,-0.02441,45.65993,-20.80148,-33.58918,0.78685,-24.66419,44.41817,23.18218,-11.12139,-0.29572,-2.92516,0.83237,-2.39488,-16.43087,-7.87613,0.01655,-0.00623,0.12044,-0.01945,-0.01885,-0.00828,-0.07839,0.11134,-0.02251,45.81405,-20.32838,-33.93939,0.82521,-24.75185,44.27095,22.72577,-11.39004,-0.07748,-2.88758,0.57337,-3.76823,-19.14131,-6.17376,0.01649,-0.00506,0.12268,-0.01893,-0.02008,-0.00787,-0.07746,0.11446,-0.02336
17.70833,43.72812,-18.53332,-34.72013,0.33497,-23.25192,43.80968,23.90906,-11.32888,-0.28219,-2.84146,0.79452,-3.68514,-17.17453,-4.11196,0.01723,-0.00223,0.12465,-0.01972,-0.01422,-0.00826,-0.09191,0.11585,-0.01923,43.87973,-22.22964,-33.9325,0.34909,-23.345,45.35381,23.79026,-10.08105,-0.48979,-2.92097,0.7122,2.51785,-20.00926,-6.88121,0.01876,0.00248,0.11136,-0.01871,-0.01956,0.0022,-0.07737,0.09958,-0.01828,43.98414,-21.71418,-34.31205,0.4178,-23.39516,45.22584,23.37815,-10.32893,-0.2688,-2.89091,0.43951,1.15183,-22.32906,-5.25981,0.01865,0.00369,0.11391,-0.01928,-0.02021,0.00147,-0.07642,0.10199,-0.0189
19.79167,42.16141,-19.1447,-35.13007,-0.02115,-22.15487,44.43677,24.5467,-10.33884,-0.4702,-2.84941,0.67337,0.0001,-20.85118,-3.46028,0.01644,-0.00016,0.11857,-0.01955,-0.01248,-0.00536,-0.09536,0.10827,-0.01482,42.24108,-22.88729,-34.33227,-0.08793,-22.23117,45.92093,24.34922,-9.189,-0.66195,-2.89877,0.57873,6.28415,-23.04218,-5.39895,0.01769,0.0106,0.10638,-0.01896,-0.01541,0.00462,-0.07864,0.09397,-0.01491,42.30038,-22.27981,-34.74719,0.00355,-22.25965,45.81734,23.97345,-9.40852,-0.43966,-2.87589,0.29541,5.03247,-24.84054,-3.83185,0.01785,0.01092,0.10886,-0.01994,-0.01533,0.00303,-0.07702,0.09475,-0.01523
